,song,artist,date,explicit,uri,popularity,ironhacker,links
9,Dionysus,The Buttertones,2014-01-22,False,spotify:track:7wYU1avLwl1Gtkib8OTrZp,48,Pau,https://open.spotify.com/track/7wYU1avLwl1Gtkib8OTrZp
10,Les Estrelles,Manel,2019-10-04,False,spotify:track:4SkF5mpMdLSy2ZHWcoqOPV,30,Pau,https://open.spotify.com/track/4SkF5mpMdLSy2ZHWcoqOPV
11,Misty Morning,Travis Bretzer,2016-09-30,False,spotify:track:5ZaQW8tvH33GVJ0E3sLz2w,58,Pau,https://open.spotify.com/track/5ZaQW8tvH33GVJ0E3sLz2w
12,Red River,The Symposium,2016-03-16,False,spotify:track:4AQp8VkbXMU9gDI9KzwV2l,46,Pau,https://open.spotify.com/track/4AQp8VkbXMU9gDI9KzwV2l
13,Better For Me,Fake Laugh,2018-03-23,False,spotify:track:1fPgAlasrmolLvq1vDtkq3,41,Pau,https://open.spotify.com/track/1fPgAlasrmolLvq1vDtkq3
14,You Might Be Sleeping,Jakob,2017-06-16,False,spotify:track:2KvbRojbZGMsWr1Nuj5n2f,64,Pau,https://open.spotify.com/track/2KvbRojbZGMsWr1Nuj5n2f
14,You Might Be Sleeping,Clairo,2017-06-16,False,spotify:track:2KvbRojbZGMsWr1Nuj5n2f,64,Pau,https://open.spotify.com/track/2KvbRojbZGMsWr1Nuj5n2f
15,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1980-05-16,False,spotify:track:1SV1fxF65n9NhRHp3KlBuu,79,Elisa,https://open.spotify.com/track/1SV1fxF65n9NhRHp3KlBuu
16,L'exode,Jumo,2020-06-05,False,spotify:track:7r8kxDfdDrbIdHUGUrrShS,44,Ana,https://open.spotify.com/track/7r8kxDfdDrbIdHUGUrrShS
17,Jo competeixo,Manel,2016-04-08,False,spotify:track:5NSR9uH0YeDo67gMiEv13n,30,Pau,https://open.spotify.com/track/5NSR9uH0YeDo67gMiEv13n
18,Waterfalls,TLC,1994-11-15,False,spotify:track:6qspW4YKycviDFjHBOaqUY,71,Ana S,https://open.spotify.com/track/6qspW4YKycviDFjHBOaqUY
19,Kill Bill - Sped Up Version,SZA,2023-01-13,False,spotify:track:2ty6DmPnxVPpEFuB23XM0x,75,Ana S,https://open.spotify.com/track/2ty6DmPnxVPpEFuB23XM0x
20,Breathless,Caroline Polachek,2020-12-17,False,spotify:track:179YXh5spiRaUDJihittPG,50,Belén,https://open.spotify.com/track/179YXh5spiRaUDJihittPG
21,Flowers,Miley Cyrus,2023-01-13,False,spotify:track:0yLdNVWF3Srea0uzk55zFn,100,Belén,https://open.spotify.com/track/0yLdNVWF3Srea0uzk55zFn
22,Te Dejo Madrid,Shakira,2001-11-13,False,spotify:track:3ToWC9JYSmDIa9yJs0k6PO,55,Amiga de Pau,https://open.spotify.com/track/3ToWC9JYSmDIa9yJs0k6PO
23,Piano Man,Billy Joel,1973-11-07,False,spotify:track:70C4NyhjD5OZUMzvWZ3njJ,74,Jorge,https://open.spotify.com/track/70C4NyhjD5OZUMzvWZ3njJ
24,I Want You Back,The Jackson 5,1969-12-18,False,spotify:track:5LxvwujISqiB8vpRYv887S,75,Jorge,https://open.spotify.com/track/5LxvwujISqiB8vpRYv887S
25,ABC,The Jackson 5,1970-05-08,False,spotify:track:6D8kc7RO0rqBLSo2YPflJ5,67,Jorge,https://open.spotify.com/track/6D8kc7RO0rqBLSo2YPflJ5
26,(Sittin' On) the Dock of the Bay,Otis Redding,1968,False,spotify:track:3zBhihYUHBmGd2bcQIobrF,76,Jorge,https://open.spotify.com/track/3zBhihYUHBmGd2bcQIobrF
