,song,artist,date,explicit,uri,popularity,usuario,links,uri_artista
51,Jazz (We've Got),A Tribe Called Quest,1991-09-24,True,spotify:track:7AgMX97ljLm9BzszyyXEYZ,60,Ana S,https://open.spotify.com/track/7AgMX97ljLm9BzszyyXEYZ,09hVIj6vWgoCDtT03h8ZCa
52,Highest Building,"['Flume', 'Oklou']",2022-05-20,False,spotify:track:6vd4SM9P40ZFLPVSHpzsJk,50,Elisa,https://open.spotify.com/track/6vd4SM9P40ZFLPVSHpzsJk,"['6nxWCVXbOlEVRexSbLsTer', '6fFcUOFcbjeIuEomuUthkw']"
53,Sirens (feat. Caroline Polachek) - Coco Bryce Remix,"['Flume', 'Caroline Polachek', 'Coco Bryce']",2022-09-09,False,spotify:track:2YxTIv6fpKBuWz6FhMC8aO,16,Elisa,https://open.spotify.com/track/2YxTIv6fpKBuWz6FhMC8aO,"['6nxWCVXbOlEVRexSbLsTer', '4Ge8xMJNwt6EEXOzVXju9a', '08hjAM9XAD28O0nWVKmlx5']"
54,All The Small Things,blink-182,1999-06-01,False,spotify:track:2m1hi0nfMR9vdGC8UcrnwU,80,Jorge,https://open.spotify.com/track/2m1hi0nfMR9vdGC8UcrnwU,6FBDaR13swtiWwGhX1WQsP
55,What's My Age Again?,blink-182,1999-06-01,True,spotify:track:4LJhJ6DQS7NwE7UKtvcM52,77,Jorge,https://open.spotify.com/track/4LJhJ6DQS7NwE7UKtvcM52,6FBDaR13swtiWwGhX1WQsP
56,Californication,Red Hot Chili Peppers,1999-06-08,False,spotify:track:48UPSzbZjgc449aqz8bxox,81,Jorge,https://open.spotify.com/track/48UPSzbZjgc449aqz8bxox,0L8ExT028jH3ddEcZwqJJ5
57,Rock 'N' Roll Is King,Electric Light Orchestra,1983-06-15,False,spotify:track:6s30tYL0EJbROLV4Yzsw0D,54,Elisa,https://open.spotify.com/track/6s30tYL0EJbROLV4Yzsw0D,7jefIIksOi1EazgRTfW2Pk
58,Elle ne t'aime pas,La Femme,2016-09-02,False,spotify:track:6QEvbmv2euCQxX54gjlarO,59,Elisa,https://open.spotify.com/track/6QEvbmv2euCQxX54gjlarO,5VTWoYYizcOY3uIKnxeCGI
59,CR7,Afrojuice 195,2018-12-21,False,spotify:track:3jqjemlBnoYcyYmYQSKTGa,17,Ana S,https://open.spotify.com/track/3jqjemlBnoYcyYmYQSKTGa,4zsSo50Ho4eLQWprgqidlP
60,I Love You,Fontaines D.C.,2022-04-22,True,spotify:track:4N8idxy0W2GDaEosAwPOMg,58,Ana S,https://open.spotify.com/track/4N8idxy0W2GDaEosAwPOMg,3SXwqSqAoBz9WCI9PDQzY6
