,song,artist,date,explicit,uri,popularity,ironhacker,links
33,Hallelujah,Leonard Cohen,1984-12-11,False,spotify:track:7yzbimr8WVyAtBX3Eg6UL9,62,11159625835,https://open.spotify.com/track/7yzbimr8WVyAtBX3Eg6UL9
34,Father And Son,Yusuf / Cat Stevens,1970-11-23,False,spotify:track:476V2d6iA2tWXgQboKmTtA,71,11159625835,https://open.spotify.com/track/476V2d6iA2tWXgQboKmTtA
35,Hurt,Johnny Cash,2002-01-01,False,spotify:track:28cnXtME493VX9NOw9cIUh,73,11159625835,https://open.spotify.com/track/28cnXtME493VX9NOw9cIUh
36,Ring of Fire,Johnny Cash,1963-08-06,False,spotify:track:6YffUZJ2R06kyxyK6onezL,69,11159625835,https://open.spotify.com/track/6YffUZJ2R06kyxyK6onezL
37,I'm Just a Kid,Simple Plan,2018-04-06,False,spotify:track:6otiaV2fagE3s8IvP6WkwG,70,11159625835,https://open.spotify.com/track/6otiaV2fagE3s8IvP6WkwG
38,Still Waiting,Sum 41,2002-01-01,True,spotify:track:0jqK7sGTLsHPkQrrcrGuKD,69,11159625835,https://open.spotify.com/track/0jqK7sGTLsHPkQrrcrGuKD
39,In Too Deep,Sum 41,2001-01-01,False,spotify:track:1HNE2PX70ztbEl6MLxrpNL,73,11159625835,https://open.spotify.com/track/1HNE2PX70ztbEl6MLxrpNL
40,The Less I Know The Better,Tame Impala,2015-07-17,True,spotify:track:6K4t31amVTZDgR3sKmwUJJ,82,115724470,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
41,One More Time,Daft Punk,2001-03-12,False,spotify:track:0DiWol3AO6WpXZgp0goxAV,75,115724470,https://open.spotify.com/track/0DiWol3AO6WpXZgp0goxAV
42,"Harder, Better, Faster, Stronger",Daft Punk,2001-03-12,False,spotify:track:5W3cjX2J3tjhG8zb6u0qHn,70,115724470,https://open.spotify.com/track/5W3cjX2J3tjhG8zb6u0qHn
43,Churchyard,AURORA,2018-09-28,False,spotify:track:43nFhoG7Kenn6b5cbKrBu8,49,115724470,https://open.spotify.com/track/43nFhoG7Kenn6b5cbKrBu8
44,Queendom,AURORA,2018-09-28,False,spotify:track:3atXfSavxWkrzRNuwzlow6,51,115724470,https://open.spotify.com/track/3atXfSavxWkrzRNuwzlow6
45,Hero,Skillet,2009-08-21,False,spotify:track:4CbKVDZkYKdv69I4bCaKUq,71,115724470,https://open.spotify.com/track/4CbKVDZkYKdv69I4bCaKUq
